20-11-2018 08:34:38 DEBUG    [app.py:26] Trying to connect to `http://books.toscrape.com/catalogue/page-6.html`.
20-11-2018 08:34:38 DEBUG    [connectionpool.py:205] Starting new HTTP connection (1): books.toscrape.com:80
20-11-2018 08:34:39 DEBUG    [connectionpool.py:393] http://books.toscrape.com:80 "GET /catalogue/page-6.html HTTP/1.1" 200 None
20-11-2018 08:34:39 DEBUG    [app.py:28] Creating AllBooksPage from page_content.
20-11-2018 08:34:39 DEBUG    [all_books_page.py:12] Parsing page content with BeautifulSoup HTML parser.
20-11-2018 08:34:39 DEBUG    [all_books_page.py:17] Finding all books in the page using `div.page_inner section ol li.col-xs-6.col-sm-4.col-md-3.col-lg-3`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [app.py:26] Trying to connect to `http://books.toscrape.com/catalogue/page-7.html`.
20-11-2018 08:34:39 DEBUG    [connectionpool.py:205] Starting new HTTP connection (1): books.toscrape.com:80
20-11-2018 08:34:39 DEBUG    [connectionpool.py:393] http://books.toscrape.com:80 "GET /catalogue/page-7.html HTTP/1.1" 200 None
20-11-2018 08:34:39 DEBUG    [app.py:28] Creating AllBooksPage from page_content.
20-11-2018 08:34:39 DEBUG    [all_books_page.py:12] Parsing page content with BeautifulSoup HTML parser.
20-11-2018 08:34:39 DEBUG    [all_books_page.py:17] Finding all books in the page using `div.page_inner section ol li.col-xs-6.col-sm-4.col-md-3.col-lg-3`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:39 DEBUG    [app.py:26] Trying to connect to `http://books.toscrape.com/catalogue/page-8.html`.
20-11-2018 08:34:39 DEBUG    [connectionpool.py:205] Starting new HTTP connection (1): books.toscrape.com:80
20-11-2018 08:34:39 DEBUG    [connectionpool.py:393] http://books.toscrape.com:80 "GET /catalogue/page-8.html HTTP/1.1" 200 None
20-11-2018 08:34:39 DEBUG    [app.py:28] Creating AllBooksPage from page_content.
20-11-2018 08:34:39 DEBUG    [all_books_page.py:12] Parsing page content with BeautifulSoup HTML parser.
20-11-2018 08:34:40 DEBUG    [all_books_page.py:17] Finding all books in the page using `div.page_inner section ol li.col-xs-6.col-sm-4.col-md-3.col-lg-3`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [app.py:26] Trying to connect to `http://books.toscrape.com/catalogue/page-9.html`.
20-11-2018 08:34:40 DEBUG    [connectionpool.py:205] Starting new HTTP connection (1): books.toscrape.com:80
20-11-2018 08:34:40 DEBUG    [connectionpool.py:393] http://books.toscrape.com:80 "GET /catalogue/page-9.html HTTP/1.1" 200 None
20-11-2018 08:34:40 DEBUG    [app.py:28] Creating AllBooksPage from page_content.
20-11-2018 08:34:40 DEBUG    [all_books_page.py:12] Parsing page content with BeautifulSoup HTML parser.
20-11-2018 08:34:40 DEBUG    [all_books_page.py:17] Finding all books in the page using `div.page_inner section ol li.col-xs-6.col-sm-4.col-md-3.col-lg-3`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [app.py:26] Trying to connect to `http://books.toscrape.com/catalogue/page-10.html`.
20-11-2018 08:34:40 DEBUG    [connectionpool.py:205] Starting new HTTP connection (1): books.toscrape.com:80
20-11-2018 08:34:40 DEBUG    [connectionpool.py:393] http://books.toscrape.com:80 "GET /catalogue/page-10.html HTTP/1.1" 200 None
20-11-2018 08:34:40 DEBUG    [app.py:28] Creating AllBooksPage from page_content.
20-11-2018 08:34:40 DEBUG    [all_books_page.py:12] Parsing page content with BeautifulSoup HTML parser.
20-11-2018 08:34:40 DEBUG    [all_books_page.py:17] Finding all books in the page using `div.page_inner section ol li.col-xs-6.col-sm-4.col-md-3.col-lg-3`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:40 DEBUG    [app.py:26] Trying to connect to `http://books.toscrape.com/catalogue/page-11.html`.
20-11-2018 08:34:40 DEBUG    [connectionpool.py:205] Starting new HTTP connection (1): books.toscrape.com:80
20-11-2018 08:34:41 DEBUG    [connectionpool.py:393] http://books.toscrape.com:80 "GET /catalogue/page-11.html HTTP/1.1" 200 None
20-11-2018 08:34:41 DEBUG    [app.py:28] Creating AllBooksPage from page_content.
20-11-2018 08:34:41 DEBUG    [all_books_page.py:12] Parsing page content with BeautifulSoup HTML parser.
20-11-2018 08:34:41 DEBUG    [all_books_page.py:17] Finding all books in the page using `div.page_inner section ol li.col-xs-6.col-sm-4.col-md-3.col-lg-3`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [app.py:26] Trying to connect to `http://books.toscrape.com/catalogue/page-12.html`.
20-11-2018 08:34:41 DEBUG    [connectionpool.py:205] Starting new HTTP connection (1): books.toscrape.com:80
20-11-2018 08:34:41 DEBUG    [connectionpool.py:393] http://books.toscrape.com:80 "GET /catalogue/page-12.html HTTP/1.1" 200 None
20-11-2018 08:34:41 DEBUG    [app.py:28] Creating AllBooksPage from page_content.
20-11-2018 08:34:41 DEBUG    [all_books_page.py:12] Parsing page content with BeautifulSoup HTML parser.
20-11-2018 08:34:41 DEBUG    [all_books_page.py:17] Finding all books in the page using `div.page_inner section ol li.col-xs-6.col-sm-4.col-md-3.col-lg-3`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
20-11-2018 08:34:41 DEBUG    [book_parser.py:23] New book parser created from `TBD`.
